MCM_DECISION | long_score=-0.8733 short_score=0.6773 memory_center=-0.6275 memory_strength=12 self_state=active attractor=analysis best_score=0.6773 reject_reason=-
MCM_DECISION | long_score=0.8543 short_score=-0.8974 memory_center=0.4174 memory_strength=12 self_state=active attractor=cooperate best_score=0.8543 reject_reason=-
MCM_DECISION | long_score=-1.8135 short_score=1.5797 memory_center=-0.8849 memory_strength=12 self_state=active attractor=analysis best_score=1.5797 reject_reason=-
MCM_DECISION | long_score=1.4359 short_score=-1.7869 memory_center=0.4615 memory_strength=19 self_state=active attractor=cooperate best_score=1.4359 reject_reason=-
MCM_DECISION | long_score=-0.7980 short_score=0.4560 memory_center=0.4615 memory_strength=16 self_state=active attractor=cooperate best_score=0.4560 reject_reason=-
MCM_DECISION | long_score=1.7335 short_score=-2.3534 memory_center=0.4615 memory_strength=14 self_state=active attractor=cooperate best_score=1.7335 reject_reason=-
MCM_DECISION | long_score=0.2892 short_score=-0.8618 memory_center=0.4615 memory_strength=12 self_state=active attractor=cooperate best_score=0.2892 reject_reason=-
MCM_DECISION | long_score=-0.0926 short_score=-0.4007 memory_center=1.4397 memory_strength=12 self_state=active attractor=neutral best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.2487 short_score=-0.1146 memory_center=0.8415 memory_strength=12 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.1118 short_score=1.6394 memory_center=-0.7898 memory_strength=15 self_state=active attractor=analysis best_score=1.6394 reject_reason=-
MCM_DECISION | long_score=1.2899 short_score=-1.8397 memory_center=0.7369 memory_strength=19 self_state=active attractor=cooperate best_score=1.2899 reject_reason=-
MCM_DECISION | long_score=0.3391 short_score=-1.1487 memory_center=0.7030 memory_strength=28 self_state=active attractor=cooperate best_score=0.3391 reject_reason=-
MCM_DECISION | long_score=-0.1528 short_score=-0.4534 memory_center=0.7030 memory_strength=24 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.8696 short_score=0.2755 memory_center=0.2908 memory_strength=25 self_state=stable attractor=cooperate best_score=0.2755 reject_reason=-
MCM_DECISION | long_score=-1.4307 short_score=0.8946 memory_center=0.2908 memory_strength=21 self_state=active attractor=cooperate best_score=0.8946 reject_reason=-
MCM_DECISION | long_score=1.5135 short_score=-2.0518 memory_center=0.2908 memory_strength=18 self_state=active attractor=cooperate best_score=1.5135 reject_reason=-
MCM_DECISION | long_score=-1.4437 short_score=0.6304 memory_center=-0.7923 memory_strength=23 self_state=active attractor=analysis best_score=0.6304 reject_reason=-
MCM_DECISION | long_score=-2.0845 short_score=1.1042 memory_center=-0.7923 memory_strength=20 self_state=active attractor=analysis best_score=1.1042 reject_reason=-
MCM_DECISION | long_score=-2.5909 short_score=1.4288 memory_center=-2.1405 memory_strength=25 self_state=active attractor=defense best_score=1.4288 reject_reason=-
MCM_DECISION | long_score=-2.9198 short_score=1.5844 memory_center=-2.1703 memory_strength=33 self_state=active attractor=defense best_score=1.5844 reject_reason=-
MCM_DECISION | long_score=-0.4271 short_score=-0.6145 memory_center=-2.1703 memory_strength=28 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.1917 short_score=-0.5933 memory_center=-2.1703 memory_strength=24 self_state=stable attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0913 short_score=0.4069 memory_center=-2.1703 memory_strength=20 self_state=active attractor=defense best_score=0.4069 reject_reason=-
MCM_DECISION | long_score=-0.4424 short_score=-0.1453 memory_center=0.2514 memory_strength=25 self_state=stable attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.0953 short_score=-0.7299 memory_center=0.2437 memory_strength=33 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.9188 short_score=-1.7750 memory_center=0.2437 memory_strength=28 self_state=active attractor=cooperate best_score=0.9188 reject_reason=-
MCM_DECISION | long_score=0.0845 short_score=-1.0028 memory_center=2.1118 memory_strength=25 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.2235 short_score=0.5415 memory_center=0.3995 memory_strength=29 self_state=active attractor=cooperate best_score=0.5415 reject_reason=-
MCM_DECISION | long_score=1.2397 short_score=-2.3176 memory_center=2.1417 memory_strength=30 self_state=active attractor=explore best_score=1.2397 reject_reason=-
MCM_DECISION | long_score=-1.6499 short_score=0.7021 memory_center=0.3289 memory_strength=28 self_state=active attractor=cooperate best_score=0.7021 reject_reason=-
MCM_DECISION | long_score=-2.1896 short_score=0.9198 memory_center=0.3289 memory_strength=24 self_state=stressed attractor=cooperate best_score=0.9198 reject_reason=-
MCM_DECISION | long_score=-1.8680 short_score=0.6150 memory_center=-2.1911 memory_strength=25 self_state=active attractor=defense best_score=0.6150 reject_reason=-
