trade,pnl_netto,pnl_tp,pnl_sl
1,99.3534656864429,0.0,-0.6465343135571019
2,98.73318445335137,0.0,-1.2668155466486382
3,98.19550501484571,0.0,-1.8044949851543057
4,99.39656322511803,1.2010582102723184,-1.8044949851543057
5,98.80868735407316,1.2010582102723184,-2.3923708561991814
6,98.32244509175368,1.2010582102723184,-2.878613118518667
7,97.83596607333945,1.2010582102723184,-3.3650921369328985
8,97.30683455916905,1.2010582102723184,-3.8942236511033017
9,96.82156494239369,1.2010582102723184,-4.379493267878658
10,96.24539337849545,1.2010582102723184,-4.955664831776905
11,97.41962198041385,2.375286812190719,-4.955664831776905
12,98.68094885466543,3.6366136864423035,-4.955664831776905
13,98.19757552384087,3.6366136864423035,-5.439038162601465
14,99.50916075187602,4.948198914477455,-5.439038162601465
15,100.87955752001302,6.318595682614456,-5.439038162601465
16,100.38689297427986,6.318595682614456,-5.931702708334622
17,99.72425457057709,6.318595682614456,-6.594341112037393
18,99.14140728849983,6.318595682614456,-7.177188394114651
19,100.40247985388768,7.57966824800231,-7.177188394114651
20,99.90713095028946,7.57966824800231,-7.672537297712872
21,99.34802782364451,7.57966824800231,-8.231640424357813
22,98.86100970061287,7.57966824800231,-8.718658547389463
23,100.14824669346595,8.866905240855385,-8.718658547389463
24,99.56439452755919,8.866905240855385,-9.302510713296224
25,98.6789774704649,8.866905240855385,-10.187927770390505
26,98.12452756196295,8.866905240855385,-10.742377678892455
27,97.5478218187717,8.866905240855385,-11.319083422083706
28,96.96906230436515,8.866905240855385,-11.897842936490244
29,96.38433016029002,8.866905240855385,-12.482575080565379
30,97.64071656259289,10.123291643158256,-12.482575080565379
31,98.8814981811937,11.364073261759078,-12.482575080565379
32,100.21977529075212,12.702350371317493,-12.482575080565379
33,101.54859847109587,14.031173551661238,-12.482575080565379
34,101.00881892167259,14.031173551661238,-13.022354629988671
35,100.50184932669374,14.031173551661238,-13.529324224967509
36,100.0011910028445,14.031173551661238,-14.029982548816752
37,99.43041570405542,14.031173551661238,-14.600757847605829
38,100.82170418894462,15.422462036550439,-14.600757847605829
39,100.31261692285462,15.422462036550439,-15.10984511369583
40,99.80814307422902,15.422462036550439,-15.614318962321425
41,99.15796204720114,15.422462036550439,-16.264499989349307
42,98.64785199018363,15.422462036550439,-16.774610046366814
43,100.00407459492239,16.7786846412892,-16.774610046366814
44,98.11383893432478,16.7786846412892,-18.66484570696442
45,96.99957835705037,16.7786846412892,-19.779106284238832
46,98.21993359720084,17.999039881439675,-19.779106284238832
47,97.48148259630572,17.999039881439675,-20.517557285133943
48,96.89003024910359,17.999039881439675,-21.109009632336075
49,96.37923866602492,17.999039881439675,-21.619801215414743
