MCM_STATE | mode=outcome impulse=-0.9303 motivation=-0.2261 risk=-0.2235 replay=0.0260 self_state=active attractor=explore mean_energy=0.2790 mean_motivation=0.2110 mean_risk=-1.4539 mean_velocity=0.2307 clusters=1 memory_center=2.1683 memory_strength=33
MCM_STATE | mode=market impulse=-0.3663 motivation=-0.0491 risk=-0.1459 replay=0.0257 self_state=active attractor=explore mean_energy=-0.3975 mean_motivation=0.0982 mean_risk=-1.3720 mean_velocity=0.2838 clusters=1 memory_center=2.1683 memory_strength=28
MCM_STATE | mode=market impulse=1.7567 motivation=0.1342 risk=-0.2179 replay=0.0257 self_state=active attractor=explore mean_energy=1.9238 mean_motivation=0.1345 mean_risk=-1.3575 mean_velocity=0.1911 clusters=1 memory_center=2.1787 memory_strength=36
MCM_STATE | mode=market impulse=0.6934 motivation=0.0543 risk=-0.0678 replay=-0.0168 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.1560 mean_risk=-1.2475 mean_velocity=0.1739 clusters=1 memory_center=2.1893 memory_strength=43
MCM_STATE | mode=market impulse=1.7588 motivation=0.1481 risk=-0.2379 replay=0.0016 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.2938 mean_risk=-1.3595 mean_velocity=0.1556 clusters=1 memory_center=2.1947 memory_strength=49
MCM_STATE | mode=market impulse=0.5895 motivation=0.0973 risk=-0.0200 replay=0.0203 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.3701 mean_risk=-1.2426 mean_velocity=0.1501 clusters=1 memory_center=2.1973 memory_strength=54
MCM_STATE | mode=market impulse=-0.2089 motivation=-0.0401 risk=-0.0483 replay=0.0264 self_state=active attractor=explore mean_energy=1.3695 mean_motivation=0.2996 mean_risk=-1.0951 mean_velocity=0.2462 clusters=1 memory_center=2.1973 memory_strength=46
MCM_STATE | mode=market impulse=1.4344 motivation=0.3078 risk=-0.1740 replay=0.0264 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.4981 mean_risk=-1.1116 mean_velocity=0.1884 clusters=1 memory_center=2.1987 memory_strength=51
MCM_STATE | mode=outcome impulse=-0.9328 motivation=-0.2261 risk=-0.2235 replay=0.0121 self_state=active attractor=explore mean_energy=0.2191 mean_motivation=0.2015 mean_risk=-1.1623 mean_velocity=0.2277 clusters=1 memory_center=2.1987 memory_strength=43
MCM_STATE | mode=market impulse=-0.5313 motivation=-0.0344 risk=-0.1090 replay=0.0257 self_state=active attractor=explore mean_energy=-0.7377 mean_motivation=0.1153 mean_risk=-1.0839 mean_velocity=0.2475 clusters=1 memory_center=2.1987 memory_strength=37
MCM_STATE | mode=market impulse=-1.0591 motivation=-0.0751 risk=-0.3071 replay=-0.0029 self_state=active attractor=explore mean_energy=-2.0472 mean_motivation=0.0376 mean_risk=-1.1619 mean_velocity=0.2006 clusters=1 memory_center=2.1987 memory_strength=31
MCM_STATE | mode=market impulse=1.4269 motivation=0.1096 risk=-0.1754 replay=0.0264 self_state=active attractor=explore mean_energy=0.3037 mean_motivation=0.1537 mean_risk=-1.1611 mean_velocity=0.2428 clusters=1 memory_center=2.1987 memory_strength=26
MCM_STATE | mode=market impulse=1.5933 motivation=0.1109 risk=-0.2243 replay=-0.0168 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.2555 mean_risk=-1.1976 mean_velocity=0.1907 clusters=1 memory_center=2.1993 memory_strength=34
MCM_STATE | mode=market impulse=0.9908 motivation=0.1529 risk=-0.1135 replay=0.0016 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.3017 mean_risk=-1.1587 mean_velocity=0.1608 clusters=1 memory_center=2.1997 memory_strength=41
MCM_STATE | mode=market impulse=1.5509 motivation=0.3361 risk=-0.1779 replay=0.0189 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.4982 mean_risk=-1.2704 mean_velocity=0.1376 clusters=1 memory_center=2.1998 memory_strength=47
MCM_STATE | mode=outcome impulse=-0.9397 motivation=-0.2261 risk=-0.2235 replay=-0.0263 self_state=active attractor=explore mean_energy=0.2259 mean_motivation=0.2011 mean_risk=-1.3280 mean_velocity=0.2294 clusters=1 memory_center=2.1998 memory_strength=40
MCM_STATE | mode=market impulse=-0.6875 motivation=-0.0538 risk=-0.1699 replay=0.0189 self_state=active attractor=explore mean_energy=-0.9584 mean_motivation=0.0879 mean_risk=-1.2872 mean_velocity=0.2574 clusters=1 memory_center=2.1998 memory_strength=34
MCM_STATE | mode=market impulse=-0.4454 motivation=-0.0380 risk=-0.1040 replay=-0.0095 self_state=active attractor=explore mean_energy=-1.6441 mean_motivation=-0.0250 mean_risk=-1.1907 mean_velocity=0.2798 clusters=1 memory_center=2.1998 memory_strength=29
MCM_STATE | mode=market impulse=0.9865 motivation=0.0676 risk=-0.0801 replay=0.0189 self_state=stable attractor=cooperate mean_energy=0.0059 mean_motivation=-0.0016 mean_risk=-1.1199 mean_velocity=0.2795 clusters=1 memory_center=0.1286 memory_strength=26
MCM_STATE | mode=market impulse=0.9276 motivation=0.0856 risk=-0.1504 replay=0.0183 self_state=active attractor=cooperate mean_energy=1.4427 mean_motivation=0.0700 mean_risk=-1.0609 mean_velocity=0.3168 clusters=1 memory_center=0.1286 memory_strength=22
MCM_STATE | mode=market impulse=0.2738 motivation=0.0971 risk=-0.1599 replay=0.0016 self_state=active attractor=neutral mean_energy=1.4313 mean_motivation=0.1771 mean_risk=-1.0445 mean_velocity=0.2244 clusters=1 memory_center=1.5972 memory_strength=25
MCM_STATE | mode=market impulse=1.3320 motivation=0.2533 risk=-0.1617 replay=0.0189 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.3807 mean_risk=-1.1400 mean_velocity=0.1860 clusters=1 memory_center=2.1999 memory_strength=27
MCM_STATE | mode=outcome impulse=-0.9376 motivation=-0.2261 risk=-0.2235 replay=-0.0142 self_state=active attractor=cooperate mean_energy=0.2670 mean_motivation=0.1382 mean_risk=-1.2581 mean_velocity=0.2304 clusters=1 memory_center=0.2022 memory_strength=26
MCM_STATE | mode=market impulse=-1.0994 motivation=-0.0850 risk=-0.3388 replay=0.0189 self_state=active attractor=cooperate mean_energy=-1.5289 mean_motivation=0.0550 mean_risk=-1.4797 mean_velocity=0.2540 clusters=1 memory_center=0.2022 memory_strength=22
MCM_STATE | mode=market impulse=-0.2187 motivation=-0.0101 risk=-0.0249 replay=-0.0095 self_state=active attractor=defense mean_energy=-1.7630 mean_motivation=0.0341 mean_risk=-1.3117 mean_velocity=0.2966 clusters=1 memory_center=-1.6484 memory_strength=27
MCM_STATE | mode=market impulse=1.8085 motivation=0.1702 risk=-0.2272 replay=0.0189 self_state=active attractor=defense mean_energy=1.1896 mean_motivation=0.1686 mean_risk=-1.3652 mean_velocity=0.2948 clusters=1 memory_center=-1.6484 memory_strength=23
MCM_STATE | mode=market impulse=0.8266 motivation=0.0669 risk=-0.0931 replay=0.0257 self_state=active attractor=explore mean_energy=1.9485 mean_motivation=0.2413 mean_risk=-1.2773 mean_velocity=0.1945 clusters=1 memory_center=2.1988 memory_strength=24
MCM_STATE | mode=market impulse=0.2746 motivation=0.0637 risk=-0.0496 replay=-0.0029 self_state=active attractor=explore mean_energy=1.9028 mean_motivation=0.2841 mean_risk=-1.1550 mean_velocity=0.1500 clusters=1 memory_center=2.1731 memory_strength=32
MCM_STATE | mode=market impulse=0.6143 motivation=0.1079 risk=-0.0251 replay=0.0134 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.3587 mean_risk=-1.0256 mean_velocity=0.1572 clusters=1 memory_center=2.1866 memory_strength=39
MCM_STATE | mode=market impulse=1.3250 motivation=0.2862 risk=-0.1714 replay=0.0192 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.5502 mean_risk=-1.1252 mean_velocity=0.1569 clusters=1 memory_center=2.1933 memory_strength=45
MCM_STATE | mode=outcome impulse=-0.9386 motivation=-0.2261 risk=-0.2235 replay=-0.0198 self_state=active attractor=explore mean_energy=0.2864 mean_motivation=0.2569 mean_risk=-1.2256 mean_velocity=0.2209 clusters=1 memory_center=2.1933 memory_strength=38
MCM_STATE | mode=market impulse=-0.9715 motivation=-0.0698 risk=-0.3040 replay=0.0192 self_state=active attractor=explore mean_energy=-1.2928 mean_motivation=0.1027 mean_risk=-1.3836 mean_velocity=0.2518 clusters=1 memory_center=2.1933 memory_strength=32
MCM_STATE | mode=market impulse=-0.9481 motivation=-0.0816 risk=-0.2837 replay=-0.0198 self_state=active attractor=explore mean_energy=-2.0500 mean_motivation=-0.0445 mean_risk=-1.4659 mean_velocity=0.1931 clusters=1 memory_center=2.1933 memory_strength=27
MCM_STATE | mode=market impulse=-0.0974 motivation=-0.0477 risk=-0.1661 replay=0.0030 self_state=active attractor=defense mean_energy=-1.8560 mean_motivation=-0.0980 mean_risk=-1.4100 mean_velocity=0.1746 clusters=1 memory_center=-2.1016 memory_strength=25
MCM_STATE | mode=market impulse=0.1145 motivation=-0.0079 risk=-0.0331 replay=0.0134 self_state=active attractor=defense mean_energy=-1.5035 mean_motivation=-0.0903 mean_risk=-1.2277 mean_velocity=0.2698 clusters=1 memory_center=-2.1016 memory_strength=21
MCM_STATE | mode=market impulse=0.7548 motivation=0.1231 risk=-0.0775 replay=-0.0252 self_state=active attractor=defense mean_energy=-0.2027 mean_motivation=0.0027 mean_risk=-1.1234 mean_velocity=0.2887 clusters=1 memory_center=-2.1016 memory_strength=18
MCM_STATE | mode=market impulse=0.0136 motivation=0.0544 risk=-0.1500 replay=-0.0095 self_state=stable attractor=cooperate mean_energy=-0.1219 mean_motivation=0.0684 mean_risk=-1.0971 mean_velocity=0.3239 clusters=1 memory_center=-0.0745 memory_strength=25
MCM_STATE | mode=market impulse=-0.7762 motivation=-0.1343 risk=-0.2177 replay=0.0263 self_state=active attractor=analysis mean_energy=-1.2224 mean_motivation=-0.0840 mean_risk=-1.1132 mean_velocity=0.3288 clusters=1 memory_center=-1.2846 memory_strength=25
MCM_STATE | mode=outcome impulse=0.8296 motivation=0.2850 risk=-0.2085 replay=0.0257 self_state=active attractor=cooperate mean_energy=0.2440 mean_motivation=0.1658 mean_risk=-1.0867 mean_velocity=0.3159 clusters=1 memory_center=0.0820 memory_strength=30
MCM_STATE | mode=market impulse=1.0167 motivation=0.1833 risk=-0.0925 replay=-0.0154 self_state=active attractor=cooperate mean_energy=1.5665 mean_motivation=0.2543 mean_risk=-1.0241 mean_velocity=0.1919 clusters=1 memory_center=0.0820 memory_strength=26
MCM_STATE | mode=outcome impulse=0.8287 motivation=0.2850 risk=-0.2085 replay=0.0206 self_state=active attractor=cooperate mean_energy=1.9500 mean_motivation=0.4878 mean_risk=-1.0772 mean_velocity=0.1577 clusters=1 memory_center=0.0820 memory_strength=22
MCM_STATE | mode=market impulse=-0.2350 motivation=-0.0597 risk=-0.0822 replay=0.0030 self_state=active attractor=neutral mean_energy=1.3708 mean_motivation=0.3826 mean_risk=-1.0230 mean_velocity=0.2386 clusters=1 memory_center=1.5518 memory_strength=23
MCM_STATE | mode=market impulse=1.2599 motivation=0.2679 risk=-0.1473 replay=0.0257 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.5093 mean_risk=-1.0822 mean_velocity=0.1940 clusters=1 memory_center=2.1983 memory_strength=26
MCM_STATE | mode=outcome impulse=-0.9316 motivation=-0.2261 risk=-0.2235 replay=0.0186 self_state=active attractor=cooperate mean_energy=0.2960 mean_motivation=0.2004 mean_risk=-1.1537 mean_velocity=0.2555 clusters=1 memory_center=0.1911 memory_strength=26
MCM_STATE | mode=market impulse=0.0621 motivation=0.0347 risk=-0.2502 replay=-0.0252 self_state=active attractor=cooperate mean_energy=0.2214 mean_motivation=0.1839 mean_risk=-1.2467 mean_velocity=0.2994 clusters=1 memory_center=0.1981 memory_strength=34
MCM_STATE | mode=market impulse=0.3652 motivation=-0.0190 risk=-0.1781 replay=0.0189 self_state=active attractor=cooperate mean_energy=0.6760 mean_motivation=0.1163 mean_risk=-1.2671 mean_velocity=0.3326 clusters=1 memory_center=0.1981 memory_strength=29
MCM_STATE | mode=market impulse=1.4999 motivation=0.1281 risk=-0.2403 replay=-0.0198 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.1686 mean_risk=-1.3679 mean_velocity=0.2177 clusters=1 memory_center=2.1992 memory_strength=26
MCM_STATE | mode=market impulse=0.2735 motivation=-0.0282 risk=-0.1724 replay=0.0134 self_state=active attractor=explore mean_energy=1.8790 mean_motivation=0.1304 mean_risk=-1.3860 mean_velocity=0.1790 clusters=1 memory_center=2.1637 memory_strength=34
MCM_STATE | mode=market impulse=0.6284 motivation=0.1267 risk=-0.0573 replay=0.0186 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.2489 mean_risk=-1.2990 mean_velocity=0.1588 clusters=1 memory_center=2.1819 memory_strength=41
MCM_STATE | mode=market impulse=-0.7138 motivation=-0.1170 risk=-0.2078 replay=0.0189 self_state=active attractor=explore mean_energy=0.6161 mean_motivation=0.1524 mean_risk=-1.3385 mean_velocity=0.2389 clusters=1 memory_center=2.1819 memory_strength=35
MCM_STATE | mode=market impulse=0.1768 motivation=-0.0015 risk=-0.0463 replay=0.0262 self_state=active attractor=explore mean_energy=0.7467 mean_motivation=0.1299 mean_risk=-1.1794 mean_velocity=0.2772 clusters=1 memory_center=2.1819 memory_strength=30
MCM_STATE | mode=market impulse=0.3284 motivation=0.0879 risk=-0.0567 replay=-0.0029 self_state=active attractor=explore mean_energy=1.0465 mean_motivation=0.1730 mean_risk=-1.0518 mean_velocity=0.2778 clusters=1 memory_center=2.1819 memory_strength=26
MCM_STATE | mode=market impulse=-0.3454 motivation=-0.0424 risk=-0.2122 replay=0.0262 self_state=active attractor=explore mean_energy=0.3202 mean_motivation=0.1333 mean_risk=-1.0782 mean_velocity=0.2799 clusters=1 memory_center=2.1819 memory_strength=22
MCM_STATE | mode=market impulse=1.4474 motivation=0.3118 risk=-0.1622 replay=-0.0252 self_state=active attractor=explore mean_energy=1.9466 mean_motivation=0.3798 mean_risk=-1.1357 mean_velocity=0.1953 clusters=1 memory_center=2.1871 memory_strength=31
MCM_STATE | mode=outcome impulse=0.8284 motivation=0.2850 risk=-0.2085 replay=0.0189 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.6520 mean_risk=-1.2256 mean_velocity=0.1577 clusters=1 memory_center=2.1936 memory_strength=38
MCM_STATE | mode=market impulse=-0.6231 motivation=-0.0862 risk=-0.1674 replay=0.0029 self_state=active attractor=explore mean_energy=0.7452 mean_motivation=0.5335 mean_risk=-1.2556 mean_velocity=0.2424 clusters=1 memory_center=2.1936 memory_strength=32
MCM_STATE | mode=market impulse=-0.6548 motivation=-0.1487 risk=-0.2202 replay=-0.0095 self_state=active attractor=explore mean_energy=-0.4589 mean_motivation=0.3431 mean_risk=-1.3207 mean_velocity=0.2747 clusters=1 memory_center=2.1936 memory_strength=27
MCM_STATE | mode=market impulse=0.6640 motivation=0.0764 risk=-0.1026 replay=0.0189 self_state=active attractor=cooperate mean_energy=0.4769 mean_motivation=0.3611 mean_risk=-1.2532 mean_velocity=0.3050 clusters=1 memory_center=0.6019 memory_strength=29
