MCM_DECISION | long_score=-0.8643 short_score=0.6682 memory_center=-0.6017 memory_strength=12 self_state=active attractor=analysis best_score=0.6682 reject_reason=-
MCM_DECISION | long_score=0.6461 short_score=-1.1452 memory_center=0.3900 memory_strength=31 self_state=active attractor=cooperate best_score=0.6461 reject_reason=-
MCM_DECISION | long_score=-1.7639 short_score=1.3688 memory_center=0.3900 memory_strength=26 self_state=active attractor=cooperate best_score=1.3688 reject_reason=-
MCM_DECISION | long_score=1.4908 short_score=-1.9133 memory_center=0.3900 memory_strength=22 self_state=active attractor=cooperate best_score=1.4908 reject_reason=-
MCM_DECISION | long_score=1.7365 short_score=-2.3324 memory_center=0.3900 memory_strength=19 self_state=active attractor=cooperate best_score=1.7365 reject_reason=-
MCM_DECISION | long_score=-1.4799 short_score=0.7454 memory_center=0.3465 memory_strength=24 self_state=active attractor=cooperate best_score=0.7454 reject_reason=-
MCM_DECISION | long_score=-2.0068 short_score=1.1212 memory_center=0.3465 memory_strength=20 self_state=active attractor=cooperate best_score=1.1212 reject_reason=-
MCM_DECISION | long_score=-1.0138 short_score=-0.2508 memory_center=-2.1550 memory_strength=25 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.0686 short_score=-0.8212 memory_center=-0.7283 memory_strength=26 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.8060 short_score=0.8654 memory_center=-0.7283 memory_strength=22 self_state=active attractor=analysis best_score=0.8654 reject_reason=-
MCM_DECISION | long_score=1.0100 short_score=-1.7178 memory_center=-0.7283 memory_strength=19 self_state=active attractor=analysis best_score=1.0100 reject_reason=-
MCM_DECISION | long_score=0.0120 short_score=-1.0147 memory_center=2.0467 memory_strength=26 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0876 short_score=0.4647 memory_center=2.0467 memory_strength=22 self_state=active attractor=explore best_score=0.4647 reject_reason=-
MCM_DECISION | long_score=1.1836 short_score=-2.3388 memory_center=2.1091 memory_strength=31 self_state=active attractor=explore best_score=1.1836 reject_reason=-
MCM_DECISION | long_score=-1.4790 short_score=0.5982 memory_center=2.1091 memory_strength=22 self_state=active attractor=explore best_score=0.5982 reject_reason=-
MCM_DECISION | long_score=-2.0297 short_score=0.8036 memory_center=2.1091 memory_strength=19 self_state=stressed attractor=explore best_score=0.8036 reject_reason=-
MCM_DECISION | long_score=-1.9564 short_score=0.4461 memory_center=-2.1887 memory_strength=26 self_state=stressed attractor=defense best_score=0.4461 reject_reason=-
MCM_DECISION | long_score=0.7569 short_score=-2.0024 memory_center=-2.1887 memory_strength=22 self_state=stressed attractor=defense best_score=0.7569 reject_reason=-
MCM_DECISION | long_score=0.6970 short_score=-1.6866 memory_center=2.0732 memory_strength=24 self_state=active attractor=explore best_score=0.6970 reject_reason=-
MCM_DECISION | long_score=0.8752 short_score=-2.0736 memory_center=2.1366 memory_strength=32 self_state=active attractor=explore best_score=0.8752 reject_reason=-
MCM_DECISION | long_score=1.3550 short_score=-2.6886 memory_center=2.1683 memory_strength=39 self_state=active attractor=explore best_score=1.3550 reject_reason=-
