EXIT TP | time=N/A side=SHORT entry=196.0402 tp=191.9711 sl=198.2931 risk=2.2529 mfe=4.2802 mae=1.2598 energy=1.9955555555555595 stim=reward attr=engage socially eff=0.5925925925925926 node=11 mem=analysis res=1.9866864197530985 pnl=4.0691
AI_DECISION | ml=SHORT ai=SHORT rr=2.2273812280574323 stim=reward attr=engage socially eff=0.5925925925925926 node=11 mem=analysis
EXIT TP | time=N/A side=SHORT entry=191.9766 tp=187.2585 sl=193.9760 risk=1.9994 mfe=5.7266 mae=0.4734 energy=1.8000000000000163 stim=reward attr=engage socially eff=0.6956521739130435 node=21 mem=analysis res=1.4400000000000424 pnl=4.7181
AI_DECISION | ml=SHORT ai=SHORT rr=2.882465078741938 stim=reward attr=engage socially eff=0.6956521739130435 node=21 mem=analysis
EXIT SL | time=N/A side=SHORT entry=186.6956 tp=182.0990 sl=188.6432 risk=1.9476 mfe=0.9956 mae=2.1444 energy=1.8031496062992323 stim=reward attr=engage socially eff=0.6956521739130435 node=21 mem=analysis res=1.4481988963978438 pnl=-1.9476
AI_DECISION | ml=SHORT ai=SHORT rr=2.882465078741938 stim=reward attr=engage socially eff=0.6956521739130435 node=21 mem=analysis
EXIT TP | time=N/A side=SHORT entry=190.2317 tp=185.1317 sl=192.2433 risk=2.0115 mfe=5.9417 mae=0.3383 energy=1.8289473684210567 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis res=1.5161011080332514 pnl=5.1001
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis
EXIT SL | time=N/A side=SHORT entry=184.8077 tp=179.7498 sl=186.3680 risk=1.5603 mfe=2.8077 mae=1.9823 energy=1.4423076923077034 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis res=0.6379437869822693 pnl=-1.5603
AI_DECISION | ml=SHORT ai=SHORT rr=3.9597551386890357 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis
EXIT TP | time=N/A side=LONG entry=188.9432 tp=191.9994 sl=186.9810 risk=1.9623 mfe=3.4968 mae=0.3132 energy=1.7999999999999716 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore res=1.4399999999999262 pnl=3.0562
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore
