EXIT SL | time=N/A side=SHORT entry=134.2533 tp=130.8286 sl=135.3157 risk=1.0624 mfe=0.8533 mae=1.1667 energy=1.346153846153878 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis res=0.37278106508877706 pnl=-1.0624
AI_DECISION | ml=SHORT ai=SHORT rr=3.9597551386890357 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis
EXIT SL | time=N/A side=SHORT entry=135.1969 tp=131.8556 sl=136.7521 risk=1.5552 mfe=0.8769 mae=1.2231 energy=2.0 stim=reward attr=engage socially eff=0.6578947368421053 node=11 mem=analysis res=2.0 pnl=-1.5552
AI_DECISION | ml=SHORT ai=SHORT rr=2.6212960705892594 stim=reward attr=engage socially eff=0.6578947368421053 node=11 mem=analysis
EXIT TP | time=N/A side=LONG entry=135.9330 tp=137.8198 sl=134.6433 risk=1.2897 mfe=2.2470 mae=0.0000 energy=1.6363636363636365 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore res=1.0413223140495869 pnl=1.8868
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore
EXIT SL | time=N/A side=LONG entry=138.2775 tp=140.3073 sl=136.8966 risk=1.3809 mfe=0.8825 mae=1.3375 energy=1.7272727272727273 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore res=1.256198347107438 pnl=-1.3809
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore
EXIT TP | time=N/A side=LONG entry=137.5592 tp=140.3269 sl=136.1782 risk=1.3809 mfe=3.4308 mae=0.1592 energy=1.7368421052631697 stim=reward attr=engage socially eff=0.6 node=920 mem=explore res=1.2797783933518299 pnl=2.7677
AI_DECISION | ml=LONG ai=LONG rr=2.4776429248575176 stim=reward attr=engage socially eff=0.6 node=920 mem=explore
EXIT TP | time=N/A side=SHORT entry=143.0795 tp=139.2753 sl=144.4316 risk=1.3521 mfe=4.5095 mae=0.0205 energy=1.6249999999999911 stim=reward attr=engage socially eff=0.7727272727272727 node=40 mem=analysis res=1.01562499999998 pnl=3.8042
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=40 mem=analysis
EXIT SL | time=N/A side=SHORT entry=138.2860 tp=134.6616 sl=139.5757 risk=1.2897 mfe=1.8660 mae=1.4840 energy=1.60465116279072 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis res=0.9702541914548898 pnl=-1.2897
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis
EXIT SL | time=N/A side=LONG entry=139.7289 tp=142.9437 sl=138.2670 risk=1.4618 mfe=1.3711 mae=1.5789 energy=1.8139534883721868 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore res=1.4764737696054386 pnl=-1.4618
AI_DECISION | ml=LONG ai=LONG rr=2.6954738298700134 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore
EXIT SL | time=N/A side=LONG entry=138.9958 tp=140.9445 sl=137.6651 risk=1.3308 mfe=0.7142 mae=1.9258 energy=1.652173913043532 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore res=1.0775047258980444 pnl=-1.3308
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore
EXIT TP | time=N/A side=SHORT entry=137.3868 tp=134.2179 sl=138.8681 risk=1.4813 mfe=2.6668 mae=0.8232 energy=1.8666666666667804 stim=reward attr=engage socially eff=0.6578947368421053 node=21 mem=analysis res=1.6177777777780886 pnl=3.1688
AI_DECISION | ml=SHORT ai=SHORT rr=2.6212960705892594 stim=reward attr=engage socially eff=0.6578947368421053 node=21 mem=analysis
EXIT SL | time=N/A side=LONG entry=134.5689 tp=136.4726 sl=133.2698 risk=1.2991 mfe=0.1611 mae=1.1289 energy=1.666666666666706 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore res=1.111111111111203 pnl=-1.2991
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore
EXIT SL | time=N/A side=SHORT entry=133.8753 tp=130.1470 sl=135.1962 risk=1.3209 mfe=0.4553 mae=1.8447 energy=1.7014925373134442 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis res=1.193584317219898 pnl=-1.3209
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis
EXIT TP | time=N/A side=LONG entry=137.7360 tp=141.0629 sl=136.2282 risk=1.5079 mfe=3.4340 mae=1.1160 energy=1.9024390243902625 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore res=1.7168352171327113 pnl=3.3268
AI_DECISION | ml=LONG ai=LONG rr=2.6954738298700134 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore
EXIT SL | time=N/A side=SHORT entry=139.6972 tp=135.9923 sl=140.8430 risk=1.1459 mfe=0.1272 mae=1.0528 energy=1.4000000000000759 stim=reward attr=engage socially eff=1.0 node=3 mem=analysis res=0.5600000000001365 pnl=-1.1459
AI_DECISION | ml=SHORT ai=SHORT rr=3.9597551386890357 stim=reward attr=engage socially eff=1.0 node=3 mem=analysis
EXIT TP | time=N/A side=SHORT entry=140.5627 tp=135.8060 sl=141.7167 risk=1.1540 mfe=4.5427 mae=0.0673 energy=1.4 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis res=0.5599999999999999 pnl=4.7567
AI_DECISION | ml=SHORT ai=SHORT rr=5.0 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis
EXIT SL | time=N/A side=SHORT entry=136.0709 tp=131.6893 sl=137.1380 risk=1.0670 mfe=0.8809 mae=1.0191 energy=1.3333333333333046 stim=reward attr=engage socially eff=1.0 node=49 mem=analysis res=0.3636363636363872 pnl=-1.0670
AI_DECISION | ml=SHORT ai=SHORT rr=5.0 stim=reward attr=engage socially eff=1.0 node=49 mem=analysis
EXIT TP | time=N/A side=LONG entry=138.2418 tp=140.8524 sl=136.9331 risk=1.3088 mfe=2.9882 mae=0.2718 energy=1.6326530612244827 stim=reward attr=engage socially eff=0.6 node=920 mem=explore res=1.0329029571011918 pnl=2.6106
AI_DECISION | ml=LONG ai=LONG rr=2.4776429248575176 stim=reward attr=engage socially eff=0.6 node=920 mem=explore
EXIT SL | time=N/A side=SHORT entry=139.6711 tp=136.3781 sl=141.2085 risk=1.5373 mfe=2.1811 mae=1.6889 energy=1.9090909090909052 stim=reward attr=engage socially eff=0.6578947368421053 node=11 mem=analysis res=1.7355371900826335 pnl=-1.5373
AI_DECISION | ml=SHORT ai=SHORT rr=2.6212960705892594 stim=reward attr=engage socially eff=0.6578947368421053 node=11 mem=analysis
EXIT TP | time=N/A side=LONG entry=141.8515 tp=143.8464 sl=140.4895 risk=1.3620 mfe=2.3885 mae=0.0215 energy=1.6571428571427853 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore res=1.0889795918365683 pnl=1.9949
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore
EXIT SL | time=N/A side=LONG entry=142.6832 tp=145.9602 sl=141.1929 risk=1.4903 mfe=0.6668 mae=1.5232 energy=1.8108108108108316 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore res=1.4682249817385498 pnl=-1.4903
AI_DECISION | ml=LONG ai=LONG rr=2.6954738298700134 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore
EXIT SL | time=N/A side=SHORT entry=142.0890 tp=138.2944 sl=143.4374 risk=1.3484 mfe=2.9890 mae=2.0110 energy=1.6333333333333018 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis res=1.034444444444373 pnl=-1.3484
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis
EXIT SL | time=N/A side=LONG entry=143.3428 tp=145.4327 sl=141.9201 risk=1.4226 mfe=0.3672 mae=2.0228 energy=1.7160493827160628 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore res=1.2287761012041174 pnl=-1.4226
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore
EXIT TP | time=N/A side=SHORT entry=142.1215 tp=138.5177 sl=143.4908 risk=1.3693 mfe=3.7415 mae=0.6285 energy=1.658536585365884 stim=reward attr=engage socially eff=0.7419354838709677 node=12 mem=analysis res=1.0922070196312423 pnl=3.6038
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=12 mem=analysis
EXIT TP | time=N/A side=LONG entry=139.2271 tp=142.4812 sl=137.7490 risk=1.4781 mfe=3.8929 mae=1.4071 energy=1.842105263157887 stim=reward attr=engage socially eff=0.7777777777777778 node=29 mem=explore res=1.5512465373961009 pnl=3.2541
AI_DECISION | ml=LONG ai=LONG rr=2.6954738298700134 stim=reward attr=engage socially eff=0.7777777777777778 node=29 mem=explore
EXIT SL | time=N/A side=SHORT entry=141.6831 tp=138.4581 sl=143.1923 risk=1.5092 mfe=0.3131 mae=1.2169 energy=1.8461538461538713 stim=reward attr=engage socially eff=0.6578947368421053 node=21 mem=analysis res=1.5621301775148608 pnl=-1.5092
AI_DECISION | ml=SHORT ai=SHORT rr=2.6212960705892594 stim=reward attr=engage socially eff=0.6578947368421053 node=21 mem=analysis
EXIT SL | time=N/A side=SHORT entry=141.8776 tp=138.0633 sl=143.3211 risk=1.4435 mfe=0.1476 mae=1.6524 energy=1.7564102564102597 stim=reward attr=engage socially eff=0.7419354838709677 node=12 mem=analysis res=1.3285667324128945 pnl=-1.4435
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=12 mem=analysis
EXIT TP | time=N/A side=LONG entry=143.1891 tp=146.1008 sl=141.7723 risk=1.4168 mfe=4.1709 mae=0.7591 energy=1.7105263157895092 stim=reward attr=engage socially eff=0.625 node=1441 mem=explore res=1.2153739612189223 pnl=2.9118
AI_DECISION | ml=LONG ai=LONG rr=2.539332691002463 stim=reward attr=engage socially eff=0.625 node=1441 mem=explore
EXIT SL | time=N/A side=LONG entry=146.5223 tp=148.5415 sl=145.1413 risk=1.3810 mfe=1.0777 mae=1.6423 energy=1.6250000000000246 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore res=1.0156250000000555 pnl=-1.3810
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore
EXIT SL | time=N/A side=SHORT entry=145.3539 tp=141.7540 sl=146.7241 risk=1.3701 mfe=1.6439 mae=1.7961 energy=1.6206896551723748 stim=reward attr=engage socially eff=0.7419354838709677 node=12 mem=analysis res=1.0059453032103767 pnl=-1.3701
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=12 mem=analysis
EXIT SL | time=N/A side=LONG entry=147.1660 tp=150.3115 sl=145.6409 risk=1.5251 mfe=0.2940 mae=1.5160 energy=1.795918367346954 stim=reward attr=engage socially eff=0.625 node=1441 mem=explore res=1.4294044148271952 pnl=-1.5251
AI_DECISION | ml=LONG ai=LONG rr=2.539332691002463 stim=reward attr=engage socially eff=0.625 node=1441 mem=explore
EXIT SL | time=N/A side=LONG entry=146.9607 tp=149.8393 sl=145.5561 risk=1.4046 mfe=0.7693 mae=1.2607 energy=1.6491228070175596 stim=reward attr=engage socially eff=0.625 node=920 mem=explore res=1.0704832256079155 pnl=-1.4046
AI_DECISION | ml=LONG ai=LONG rr=2.539332691002463 stim=reward attr=engage socially eff=0.625 node=920 mem=explore
EXIT TP | time=N/A side=SHORT entry=146.2810 tp=142.2972 sl=147.6949 risk=1.4138 mfe=4.1910 mae=0.0000 energy=1.6666666666666667 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis res=1.1111111111111112 pnl=3.9838
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis
EXIT SL | time=N/A side=SHORT entry=142.7415 tp=138.8907 sl=144.1087 risk=1.3673 mfe=0.8415 mae=1.3385 energy=1.6483516483516545 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis res=1.0687115082719618 pnl=-1.3673
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=10 mem=analysis
EXIT SL | time=N/A side=SHORT entry=143.3062 tp=139.9419 sl=144.8776 risk=1.5713 mfe=2.8062 mae=1.6538 energy=1.9036144578313117 stim=reward attr=engage socially eff=0.6578947368421053 node=11 mem=analysis res=1.720133546233087 pnl=-1.5713
AI_DECISION | ml=SHORT ai=SHORT rr=2.6212960705892594 stim=reward attr=engage socially eff=0.6578947368421053 node=11 mem=analysis
